stimuli,emotion_stimuli,subject,emotion_subject
sirakura_dis_au_cl_1_0,dis,4,dis
nakatakuma_dis_au_cl_1_0,dis,4,dis
nishio_fea_au_mouth_2_0,fea,4,sur
ota_fea_fr_2_0,fea,4,fea
koyama_fea_fr_2_0,fea,4,fea
iwagami_fea_au_mouth_1_0,fea,4,fea
henmi_fea_au_mouth_2_0,fea,4,fea
kikuguti_fea_au_mouth_1_0,fea,4,sad
sirakura_fea_fr_2_0,fea,4,fea
nakatakuma_fea_fr_1_0,fea,4,fea
nishio_hap_au_du_1_0,hap,4,hap
ota_hap_au_du_1_0,hap,4,hap
koyama_hap_au_du_1_0,hap,4,hap
iwagami_hap_au_du_2_0,hap,4,hap
henmi_hap_au_du_1_0,hap,4,hap
kikuguti_hap_au_du_4_0,hap,4,hap
sirakura_hap_au_du_2_0,hap,4,hap
nakatakuma_hap_au_du_1_0,hap,4,hap
nishio_sad_au_1_0,sad,4,sad
ota_sad_au_mouth_1_0,sad,4,sad
koyama_sad_au_mouth_1_0,sad,4,sad
iwagami_sad_au_mouth_3_0,sad,4,sad
henmi_sad_au_mouth_3_0,sad,4,sad
kikuguti_sad_au_1_0,sad,4,sad
sirakura_sad_au_mouth_1_0_130,sad,4,sad
nakatakuma_sad_au_2_0,sad,4,ang
nishio_sur_au_mouth_2_0,sur,4,sur
ota_sur_fr_1_0,sur,4,sur
koyama_sur_fr_2_0,sur,4,sur
iwagami_sur_au_mouth_2_0,sur,4,sur
henmi_sur_au_mouth_2_0,sur,4,sur
kikuguti_sur_fr_2_0,sur,4,sur
sirakura_sur_fr_1_0,sur,4,sur
nakatakuma_sur_au_mouth_2_0,sur,4,sur
nishio_ang_au_cl_2_0,ang,5,ang
ota_ang_au_cl_1_0,ang,5,dis
koyama_ang_au_cl_2_0,ang,5,ang
iwagami_ang_au_cl_1_0,ang,5,sad
henmi_ang_au_cl_4_0,ang,5,dis
kikuguti_ang_au_cl_1_0,ang,5,ang
sirakura_ang_au_cl_3_0,ang,5,ang
nakatakuma_ang_au_cl_2_0,ang,5,ang
nishio_dis_au_cl_3_0,dis,5,sad
ota_dis_au_cl_1_0,dis,5,dis
koyama_dis_au_cl_2_0,dis,5,dis
iwagami_dis_au_cl_1_0,dis,5,dis
henmi_dis_au_cl_1_0,dis,5,sad
kikuguti_dis_au_cl_4_0,dis,5,sad
sirakura_dis_au_cl_1_0,dis,5,sad
nakatakuma_dis_au_cl_1_0,dis,5,dis
nishio_fea_au_mouth_2_0,fea,5,fea
ota_fea_fr_2_0,fea,5,fea
koyama_fea_fr_2_0,fea,5,fea
iwagami_fea_au_mouth_1_0,fea,5,fea
henmi_fea_au_mouth_2_0,fea,5,fea
kikuguti_fea_au_mouth_1_0,fea,5,sad
sirakura_fea_fr_2_0,fea,5,sur
nakatakuma_fea_fr_1_0,fea,5,sur
nishio_hap_au_du_1_0,hap,5,hap
ota_hap_au_du_1_0,hap,5,hap
koyama_hap_au_du_1_0,hap,5,hap
iwagami_hap_au_du_2_0,hap,5,hap
henmi_hap_au_du_1_0,hap,5,hap
kikuguti_hap_au_du_4_0,hap,5,hap
sirakura_hap_au_du_2_0,hap,5,hap
nakatakuma_hap_au_du_1_0,hap,5,hap
nishio_sad_au_1_0,sad,5,sad
ota_sad_au_mouth_1_0,sad,5,sad
koyama_sad_au_mouth_1_0,sad,5,sad
iwagami_sad_au_mouth_3_0,sad,5,sad
henmi_sad_au_mouth_3_0,sad,5,sad
