stimuli,feature,score
henmi_sur_au_mouth_2_0,AU23_intensity,0.11877375294949204
henmi_sur_au_mouth_2_0,AU25_intensity,2.3577494296645214
henmi_sur_au_mouth_2_0,AU26_intensity,0.37107185445042945
henmi_sur_au_mouth_2_0,AU45_intensity,0.03700896747514483
iwagami_ang_au_cl_1_0,AU01_intensity,1.1078575976819098
iwagami_ang_au_cl_1_0,AU02_intensity,0.17485176847791814
iwagami_ang_au_cl_1_0,AU04_intensity,0.9984577067088994
iwagami_ang_au_cl_1_0,AU05_intensity,0.0
iwagami_ang_au_cl_1_0,AU06_intensity,0.37558268438497405
iwagami_ang_au_cl_1_0,AU07_intensity,1.7227551947219502
iwagami_ang_au_cl_1_0,AU09_intensity,0.002133333331715998
iwagami_ang_au_cl_1_0,AU10_intensity,0.0792316502139866
iwagami_ang_au_cl_1_0,AU12_intensity,0.7203565845592372
iwagami_ang_au_cl_1_0,AU14_intensity,1.5091116525334103
iwagami_ang_au_cl_1_0,AU15_intensity,1.006562358553532
iwagami_ang_au_cl_1_0,AU17_intensity,0.7716220934785794
iwagami_ang_au_cl_1_0,AU20_intensity,2.683958289685803
iwagami_ang_au_cl_1_0,AU23_intensity,0.6652984997206767
iwagami_ang_au_cl_1_0,AU25_intensity,0.37699099753336235
iwagami_ang_au_cl_1_0,AU26_intensity,0.3722239217552542
iwagami_ang_au_cl_1_0,AU45_intensity,0.7328371499450765
iwagami_ang_au_op_2_0,AU01_intensity,1.6716650084272782
iwagami_ang_au_op_2_0,AU02_intensity,0.2662623902955755
iwagami_ang_au_op_2_0,AU04_intensity,1.59438319987756
iwagami_ang_au_op_2_0,AU05_intensity,0.00027652811318633433
iwagami_ang_au_op_2_0,AU06_intensity,0.6838747193519936
iwagami_ang_au_op_2_0,AU07_intensity,3.255939137694986
iwagami_ang_au_op_2_0,AU09_intensity,0.9939997828320308
iwagami_ang_au_op_2_0,AU10_intensity,1.3832142241041585
iwagami_ang_au_op_2_0,AU12_intensity,0.876956573813034
