stimuli,emotion_stimuli,subject,emotion_subject
henmi_fea_au_mouth_2_0,fea,AY,fea
kikuguti_fea_au_mouth_1_0,fea,AY,sad
sirakura_fea_fr_2_0,fea,AY,sur
nakatakuma_fea_fr_1_0,fea,AY,fea
nishio_hap_au_du_1_0,hap,AY,hap
ota_hap_au_du_1_0,hap,AY,hap
koyama_hap_au_du_1_0,hap,AY,hap
iwagami_hap_au_du_2_0,hap,AY,hap
henmi_hap_au_du_1_0,hap,AY,hap
kikuguti_hap_au_du_4_0,hap,AY,hap
sirakura_hap_au_du_2_0,hap,AY,hap
nakatakuma_hap_au_du_1_0,hap,AY,hap
nishio_sad_au_1_0,sad,AY,sad
ota_sad_au_mouth_1_0,sad,AY,sad
koyama_sad_au_mouth_1_0,sad,AY,sad
iwagami_sad_au_mouth_3_0,sad,AY,sad
henmi_sad_au_mouth_3_0,sad,AY,sad
kikuguti_sad_au_1_0,sad,AY,sad
sirakura_sad_au_mouth_1_0_130,sad,AY,sad
nakatakuma_sad_au_2_0,sad,AY,sad
nishio_sur_au_mouth_2_0,sur,AY,sur
ota_sur_fr_1_0,sur,AY,sur
koyama_sur_fr_2_0,sur,AY,sur
iwagami_sur_au_mouth_2_0,sur,AY,sur
henmi_sur_au_mouth_2_0,sur,AY,sur
kikuguti_sur_fr_2_0,sur,AY,ang
sirakura_sur_fr_1_0,sur,AY,sur
nakatakuma_sur_au_mouth_2_0,sur,AY,sur
nishio_ang_au_cl_2_0,ang,KN,ang
ota_ang_au_cl_1_0,ang,KN,ang
koyama_ang_au_cl_2_0,ang,KN,ang
iwagami_ang_au_cl_1_0,ang,KN,ang
henmi_ang_au_cl_4_0,ang,KN,ang
kikuguti_ang_au_cl_1_0,ang,KN,ang
sirakura_ang_au_cl_3_0,ang,KN,ang
nakatakuma_ang_au_cl_2_0,ang,KN,ang
nishio_dis_au_cl_3_0,dis,KN,sad
ota_dis_au_cl_1_0,dis,KN,dis
koyama_dis_au_cl_2_0,dis,KN,sad
iwagami_dis_au_cl_1_0,dis,KN,sad
